datetime,close,open,high,low,volume,openinterest,开仓价格,平仓价格开盘价格,平仓价格收盘价格,方向,差价1,差2,盈利1,盈利1,,开仓价格,平仓价格收盘价格,,方向,差价1,盈利1
2022/3/23,4240.4,4235,4263,4206.8,84975,9.755205831,4240.4,4215,4218.8,1,-25.4,-21.6,-25.4,-25.4,,,,,,,
2022/3/24,4218.8,4215,4249.6,4185.6,82607,22.1710956,4218.8,4220,4137,1,1.2,-81.8,1.2,1.2,,,,,,,
2022/3/25,4137,4220,4237.6,4137,87845,13.39443705,4137,4100,4128.2,1,-37,-8.8,-37,-37,,,,,,,
2022/3/28,4128.2,4100,4155,4055,94420,12.41018414,4128.2,4140,4113.2,1,11.8,-15,11.8,11.8,,,,,,,
2022/3/29,4113.2,4140,4165,4103.2,71009,6.02341946,4113.2,4149,4254.2,1,35.8,141,35.8,35.8,,,,,,,
2022/3/30,4254.2,4149,4256,4145.8,103025,8.672230653,4254.2,4234.8,4218.8,1,-19.4,-35.4,-19.4,-19.4,,,,,,,
2022/3/31,4218.8,4234.8,4248.2,4211,65855,-3.21623413,4218.8,4190.2,4268,1,-28.6,49.2,-28.6,-28.6,,,,,,,
2022/4/1,4268,4190.2,4292,4185,84252,1.176897003,4268,4242,4242,-1,-26,-26,26,-26,,,,,,,
2022/4/6,4242,4242,4265,4220.4,70389,13.71562373,4242,4220,4195.2,-1,-22,-46.8,22,-22,,,,,,,
2022/4/7,4195.2,4220,4260,4188,83696,5.430671891,4195.2,4203.2,4233.8,1,8,38.6,8,8,,,,,,,
2022/4/8,4233.8,4203.2,4235,4172.2,82187,10.20082524,4233.8,4192.2,4100,1,-41.6,-133.8,-41.6,-41.6,,,,,,,
2022/4/11,4100,4192.2,4199.2,4087.2,96357,18.62340282,4100,4108.8,4176,1,8.8,76,8.8,8.8,,,,,,,
2022/4/12,4176,4108.8,4185,4081.8,99501,20.84546208,4176,4151.4,4147.8,1,-24.6,-28.2,-24.6,-24.6,,,,,,,
2022/4/13,4147.8,4151.4,4195,4142,73095,15.27935882,4147.8,4180,4186.2,1,32.2,38.4,32.2,32.2,,,,,,,
2022/4/14,4186.2,4180,4218.6,4159.2,60196,8.497918627,4186.2,4160,4194.4,1,-26.2,8.2,-26.2,-26.2,,,,,,,
2022/4/15,4194.4,4160,4206.6,4153.8,24106,4.171986666,4194.4,4138.2,4158.2,1,-56.2,-36.2,-56.2,-56.2,,,,,,,
2022/4/18,4158.2,4138.2,4164.8,4114,77885,11.01941545,4158.2,4165,4134.8,1,6.8,-23.4,6.8,6.8,,,,,,,
2022/4/19,4134.8,4165,4188,4105.2,75170,13.83793807,4134.8,4130,4054.6,1,-4.8,-80.2,-4.8,-4.8,,,,,,,
2022/4/20,4054.6,4130,4139,4054,84223,15.64504213,4054.6,4053.4,3998.8,1,-1.2,-55.8,-1.2,-1.2,,,,,,,
2022/4/21,3998.8,4053.4,4081.4,3974.2,99486,11.61432065,3998.8,3970,4011.8,1,-28.8,13,-28.8,-28.8,,,,,,,
2022/4/22,4011.8,3970,4043.6,3953,86195,7.592646784,4011.8,3933.4,3809.8,1,-78.4,-202,-78.4,-78.4,,,,,,,
2022/4/25,3809.8,3933.4,3964.4,3800,113887,12.13654213,3809.8,3832,3782,1,22.2,-27.8,22.2,22.2,,,,,,,
2022/4/26,3782,3832,3881,3771.4,114509,11.41442407,3782,3775,3885.8,1,-7,103.8,-7,-7,,,,,,,
2022/4/27,3885.8,3775,3886,3772,113514,16.08858198,3885.8,3872.6,3916,1,-13.2,30.2,-13.2,-13.2,,,,,,,
2022/4/28,3916,3872.6,3927.8,3864.4,97238,1.666880739,3916,3936,4019.4,1,20,103.4,20,20,,,,,,,
2022/4/29,4019.4,3936,4021.6,3887.2,103063,8.470678667,4019.4,4018,3995,-1,-1.4,-24.4,1.4,-1.4,,,,,,,
2022/5/5,3995,4018,4028.8,3989.2,69449,3.62498487,3995,3930,3880.2,1,-65,-114.8,-65,-65,,,,,,,
2022/5/6,3880.2,3930,3942,3876.8,81098,0.101820286,3880.2,3864.4,3853.2,1,-15.8,-27,-15.8,-15.8,,,,,,,
2022/5/9,3853.2,3864.4,3894.8,3827.6,65990,-0.131761214,3853.2,3813.2,3914,-1,-40,60.8,40,-40,,,,,,,
2022/5/10,3914,3813.2,3932.2,3785,95700,12.07545386,3914,3916.8,3955.4,-1,2.8,41.4,-2.8,2.8,,,,,,,
2022/5/11,3955.4,3916.8,4021.6,3911.2,86945,0.607448979,3955.4,3944.8,3943.2,1,-10.6,-12.2,-10.6,-10.6,,,,,,,
2022/5/12,3943.2,3944.8,3976.4,3923,71782,-7.147374324,3943.2,3980,3975.2,-1,36.8,32,-36.8,36.8,,,,,,,
2022/5/13,3975.2,3980,3997.4,3945,70820,3.635938728,3975.2,4008.2,3932.2,-1,33,-43,-33,33,,,,,,,
2022/5/16,3932.2,4008.2,4013.6,3926,70493,-5.833530929,3932.2,3953,3994.4,1,20.8,62.2,20.8,20.8,,,,,,,
2022/5/17,3994.4,3953,3998.6,3941,65865,3.51217101,3994.4,3998,3982.4,-1,3.6,-12,-3.6,3.6,,,,,,,
2022/5/18,3982.4,3998,4016.8,3949,61836,1.347089656,3982.4,3935,3997,1,-47.4,14.6,-47.4,-47.4,,,,,,,
2022/5/19,3997,3935,3998.2,3935,45019,-2.66590154,3997,3999,4063,-1,2,66,-2,2,,,,,,,
2022/5/20,4063,3999,4065,3996.2,107613,-4.286676764,4063,4063,4015,-1,0,-48,0,0,,,,,,,
2022/5/23,4015,4063,4063,3996.4,83824,12.73096326,4015,4018,3938.6,-1,3,-76.4,-3,3,,,,,,,
2022/5/24,3938.6,4018,4021.8,3936,86225,5.852822707,3938.6,3949,3958,1,10.4,19.4,10.4,10.4,,,,,,,
2022/5/25,3958,3949,3963.6,3930.2,71125,7.986669002,3958,3957,3969.6,1,-1,11.6,-1,-1,,,,,,,
2022/5/26,3969.6,3957,4001,3903.2,103945,15.00417263,3969.6,4003,3983.2,1,33.4,13.6,33.4,33.4,,,,,,,
2022/5/27,3983.2,4003,4040.2,3966,93567,2.800540678,3983.2,4003.4,4001.8,1,20.2,18.6,20.2,20.2,,,,,,,
2022/5/30,4001.8,4003.4,4028,3986.8,75199,-9.778627861,4001.8,4003,4069.2,1,1.2,67.4,1.2,1.2,,,,,,,
2022/5/31,4069.2,4003,4084.8,3996,94817,0.854933116,4069.2,4066,4059.2,-1,-3.2,-10,3.2,-3.2,,,,,,,
2022/6/1,4059.2,4066,4075.6,4036.8,69701,-3.714220006,4059.2,4041,4070.6,-1,-18.2,11.4,18.2,-18.2,,,,,,,
